Language,Level,Question,Option A,Option B,Option C,Option D,Correct Option
Swift,Intermediate,Explain the concept of scope in Swift.,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,B
Perl,Beginner,What does the print function do in Perl?,Displays a value on the screen,Writes a value to a file,Returns a value,Stores data,A
HTML & CSS,Beginner,What does the print function do in HTML & CSS?,Writes a value to a file,Stores data,Displays a value on the screen,Returns a value,C
Rust,Beginner,What is an array in Rust?,A collection of elements of the same type,A list of random values,A collection of functions,A set of variables,A
C++,Beginner,How do you import modules in C++?,using module_name,import module_name,require module_name,include module_name,B
Rust,Beginner,What are variables in Rust?,Used to store data,Used for function definitions,Used for program flow,Used for user input,A
Swift,Advanced,How does memory management work in Swift?,None of the above,Memory management is handled by users,It involves printing memory addresses,It involves allocation and deallocation of memory,D
C++,Intermediate,How do you handle errors in C++?,Try-except blocks,If-else statements,Error-handling functions,None of the above,A
Objective-C,Advanced,How does memory management work in Objective-C?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Rust,Advanced,What are advanced use cases for Rust?,Basic website scripting,"High-performance computing, data analysis, AI",None of the above,File system management,B
Java,Beginner,How do you import modules in Java?,require module_name,using module_name,import module_name,include module_name,C
Scala,Intermediate,What are common data structures in Scala?,"Loops, arrays, classes","Lists, dictionaries, sets, tuples",None of the above,"Functions, arrays, objects",B
C++,Beginner,What is the difference between a string and an integer in C++?,"An integer is a whole number, a string is text",There is no difference,A string is a sequence of characters,"A string is a number, and an integer is text",A
Groovy,Beginner,What is a list in Groovy?,A variable type for text,A function for grouping variables,A data structure that stores ordered elements,A way to store numbers,C
Java,Intermediate,How do you define a class in Java?,class ClassName:,define ClassName(),class: ClassName,function ClassName() {},A
COBOL,Intermediate,How do you handle errors in COBOL?,Try-except blocks,Error-handling functions,If-else statements,None of the above,A
Rust,Advanced,What are advanced use cases for Rust?,File system management,None of the above,Basic website scripting,"High-performance computing, data analysis, AI",D
Kotlin,Intermediate,What are common data structures in Kotlin?,None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",B
C++,Intermediate,How do you define a class in C++?,function ClassName() {},class: ClassName,class ClassName:,define ClassName(),C
JavaScript,Beginner,How do you write comments in JavaScript?,# comment,/* comment */,// comment,comment(),A
Haskell,Intermediate,Explain the concept of scope in Haskell.,Scope is the time limit for variable usage,None of the above,Scope is how fast a program runs,Scope defines where variables can be accessed,D
TypeScript,Beginner,What does the print function do in TypeScript?,Writes a value to a file,Displays a value on the screen,Returns a value,Stores data,B
C,Advanced,How does memory management work in C?,None of the above,It involves allocation and deallocation of memory,Memory management is handled by users,It involves printing memory addresses,B
Ruby,Intermediate,Explain functions in Ruby.,Functions are reusable blocks of code,Functions are used to store variables,Functions handle user input,Functions are used for file I/O,A
Perl,Beginner,How do you define a function in Perl?,function function_name(){},function_name() = {},def function_name():,function_name(){},C
C#,Advanced,Explain multithreading or asynchronous operations in C#.,None of the above,Handles memory management,Executes one task at a time,Allows multiple tasks to run concurrently,D
Bash,Advanced,Explain multithreading or asynchronous operations in Bash.,None of the above,Executes one task at a time,Allows multiple tasks to run concurrently,Handles memory management,C
R,Intermediate,What are common data structures in R?,None of the above,"Lists, dictionaries, sets, tuples","Loops, arrays, classes","Functions, arrays, objects",B
C#,Advanced,Explain multithreading or asynchronous operations in C#.,None of the above,Executes one task at a time,Handles memory management,Allows multiple tasks to run concurrently,D
Perl,Advanced,Discuss performance optimization techniques in Perl.,Write all code in one function,Use only built-in functions,"Optimize algorithms, reduce time complexity",Avoid using any loops,C
Perl,Beginner,How do you import modules in Perl?,using module_name,import module_name,require module_name,include module_name,B
Rust,Intermediate,Explain the concept of scope in Rust.,Scope is the time limit for variable usage,Scope defines where variables can be accessed,None of the above,Scope is how fast a program runs,B
Go,Beginner,What is an array in Go?,A list of random values,A set of variables,A collection of elements of the same type,A collection of functions,C
Ruby,Beginner,How do you define a function in Ruby?,function_name(){},def function_name():,function_name() = {},function function_name(){},B
F#,Advanced,How does memory management work in F#?,It involves allocation and deallocation of memory,It involves printing memory addresses,Memory management is handled by users,None of the above,A
Scala,Beginner,What does the print function do in Scala?,Writes a value to a file,Displays a value on the screen,Returns a value,Stores data,B
C++,Beginner,What is the difference between a string and an integer in C++?,"An integer is a whole number, a string is text",There is no difference,"A string is a number, and an integer is text",A string is a sequence of characters,A
C#,Beginner,What is a list in C#?,A variable type for text,A function for grouping variables,A way to store numbers,A data structure that stores ordered elements,D
Groovy,Intermediate,Explain the concept of scope in Groovy.,None of the above,Scope is how fast a program runs,Scope is the time limit for variable usage,Scope defines where variables can be accessed,D
F#,Advanced,What is garbage collection in F#?,A method for checking memory leaks,None of the above,Automatic memory management system,A manual process for freeing memory,C
Java,Beginner,What is the syntax for a basic Java program?,print('Hello World'),console.log('Hello World'),echo 'Hello World',System.out.println('Hello World'),A
